idx,policy,cost_yuan,plan_yuan,adj_yuan,em_yuan,em_kwh,chg_kwh,curt_kwh,Eend_mean
1,S3 四阶段,19978721.880372,12631097.3901151,1615084.94735188,5732539.54290497,1206078.51812583,5935120.22537871,3243439.80372679,1256.66180437532
2,S2 至 12:00,19979562.477725,12634077.2342557,1612372.70259731,5733112.54087192,1206193.03824808,5930983.38829679,3243442.27228235,1273.53069425723
3,S1 至 6:00,19488532.7358501,12528639.0479251,1174481.15239672,5785412.5355283,1213840.64527813,5944775.11279962,2600899.98514406,1273.32811195091
4,S0 仅 0:00,18932358.1739054,12783703.963767,0,6148654.21013841,1285743.76352387,6417996.62866878,2435863.23581225,7545.02049893454
