plan,cost_year,cost_win,plan_cost_win,em_cost_win,em_kwh_win,em_days,em_slots,em_share_pct
B0,19156615.899642,17632245.8501964,12167317.9938051,5464927.85639139,911873.207124381,268,3827,2.46399982771056
B1,19080511.9404509,17556141.8910053,12125024.7018872,5431117.1891181,898074.351330795,272,3710,2.42671352734297
B2,17899085.5907018,16374715.5412562,12187580.1935377,4187135.34771853,686672.267203934,273,3219,1.85547764191884
B3,17824983.9804807,16300613.9310351,12155300.4455269,4145313.48550823,679224.990621335,291,3317,1.83535413343864
