plan,window,cost_total,plan_kwh,plan_cost,em_kwh,em_cost,em_days,em_slots,em_share_pct,E_min_mean,floor_hours,E_before_morning_peak,E_before_evening_peak,surplus_kwh,E_win_start,E_win_end
B0,全年365天,19156615.899642,22580507.3632635,13691688.0432506,911873.207124381,5464927.85639139,268,3827,2.25020702672204,1268.67110286492,624,4822.0131175011,9193.52807133813,1914620.55704823,6000,1307.09601194444
B0,报送窗口334天,17632245.8501964,20103129.6140011,12167317.9938051,911873.207124381,5464927.85639139,268,3827,2.46399982771056,1275.04476810088,578.166666666667,4471.67539376506,9052.48460496089,1914620.55704823,8550,1307.09601194444
B1,全年365天,19080511.9404509,22493577.9627678,13649394.7513328,898074.351330795,5431117.1891181,272,3710,2.21615593055554,1280.77772995293,617.666666666667,4733.686828725,9146.33498782683,1808410.41617992,6000,1363.53860944097
B1,报送窗口334天,17556141.8910053,20016200.2135054,12125024.7018872,898074.351330795,5431117.1891181,272,3710,2.42671352734297,1288.27506417012,571.833333333333,4375.1511560307,9000.91132507578,1808410.41617992,8550,1363.53860944097
B2,全年365天,17899085.5907018,22559933.9818349,13711950.2429833,686672.267203934,4187135.34771854,273,3219,1.6944842206628,1289.94461548348,527.5,4809.66422330691,9525.89044160196,1639572.0955448,6000,1307.09601194444
B2,报送窗口334天,16374715.5412562,20082556.2325725,12187580.1935377,686672.267203934,4187135.34771853,273,3219,1.85547764191884,1298.29276841757,481.666666666667,4458.18034472052,9415.69497965041,1639572.0955448,8550,1307.09601194444
B3,全年365天,17824983.9804807,22492936.0504211,13679670.4949724,679224.990621335,4145313.48550823,291,3317,1.67610675988736,1273.69856604581,555.166666666667,4678.02195844245,9502.03029567446,1562089.65439412,6000,1363.53860944097
B3,报送窗口334天,16300613.9310351,20015558.3011587,12155300.4455269,679224.990621335,4145313.48550823,291,3317,1.83535413343864,1280.53885211593,509.333333333333,4314.31978581175,9389.62026928053,1562089.65439412,8550,1363.53860944097
